"locationID","ancientcity","ancientregion","country","lat","longi"
"XQJ0NVMUI7","","Seleucia - Claudioseleucia - Seleucia Sidera","Turkey",37.8963206667,30.6212863333
"K19A5JFD60","Dea Augusta - Die - Dea Bocontiorum - Dea Augusta Vocontiorum","Narbonensis","France",44.752363,5.370412
"640NDONBTD","Mataghis","Azerbaijan","Azerbaijan",41.515278,46.878334
"NZOJ9TZP93","Cahors","Gaul","France",44.4491,1.43663
"J3H445GUBA","Falerone","Italy","Italy",43.10746132,13.47179104
"N1ALP208AF","Argentorate - Strasbourg - Koenigshoffen","Germania Superior","France",48.582416,7.747407
"8EWL72W2HB","Tiburnia","Austria","Austria",46.82025338,13.44830177
"AVEMA8D09H","Bethelia","Palestine","Palestinian Territory",31.53842,34.504387
"ONP1B5JMEQ","Rovigo","Italy","Italy",45.070278,11.790556
"NWF7Q6A9JH","Roselle","Italy","Italy",42.82157915,11.13860167
"AD966PIYPN","Canosa","Italy","Italy",41.22318758,16.06603568
"KPJ47JK4FR","Col. Baeterrae","Gallia","France",43.3416765,3.217941
"11IE60F605","Lugdunum","Gaul","France",45.755562,4.817466
"YM91QQHQFN","Remesiana","Serbia","Serbia",43.21805556,22.3075
"E7Y3I9M06G","Saint-Guénolé de Landévennec","(blank)","France",48.29062,-4.26665
"N2G14DGHJX","Hierocaesarea","Asia Minor","Turkey",38.7975,27.79194444
"SGLFXOPNHK","Tacapae","Tripolitana (Africa)","Tunisia",33.88333333,10.11666667
"YEPXMQP3LS","Antipyrgos","(blank)","Libya",32.076457,23.961371
"KIJZJXJ6BT","Ilerda - Lérida - Bergusitanus - Bergusia Ilergetum","Hispania Citerior","Spain",41.6159535,0.625938
"RN3NK78R5N","Suza","Persia","Iran",32.1887935,48.2537285
"4QMJGI3R4R","","Mysia","Turkey",40.5716429463,29.4802383483
"NE9ANBFI82","Babylon","(blank)","Iraq",32.53878346,44.42361764
"UDTUX3JPQ9","Cularo - Grenoble - Culabo - Gratianopolis","Narbonensis","France",45.19261,5.732072
"PFGYQ2GWPH","Amathous","Cyprus","Cyprus",34.712264,33.13708095
"GXIVREM4P9","Ajaccio","Gaul","France",41.92723,8.73462
"I4NW3I69SE","Capernaum","Palestine","Israel",32.881111,35.575
"EN8QUOIRB6","Sparta","Peloponnesus","Greece",37.08194444,22.42361111
"6TRVW8ZGFB","Cervia","Italy","Italy",44.26109501,12.34921969
"LIH73WGUMT","Pyrga","Cyprus","Cyprus",34.885875,33.435499
"ZR3L7V6EDD","Apollonia","Cyrenaica","Libya",32.89202977,21.95500154
"DHC4IN0VV1","Cocussus","Armenia","Turkey",38.02111111,36.49166667
"JY30I3SMAQ","Dion","Greece","Greece",40.17485,22.488682
"NZRYAEVQ30","Beth Govrin/Eleutheropolis","(blank)","Israel",31.614254,34.8910485
"12S3KJU1DI","Cnossus","Greece","Greece",35.29815232,25.16303454
"VJRV49J18S","Urbisaglia","Italy","Italy",43.19632061,13.37667677
"Z6G8DVY6N3","Nitrian desert","Egypt","Egypt",31.41666667,31.81666667
"XUT7UB390H","Ticelia","Libya Pentapolis","Libya",32.5,20.5
"5GOBMU8SZZ","Matilica - Matelica","Umbria","Italy",43.255092,13.011553
"S129BZRB39","Dardani - Dardanos - Dardania","Moesia Superior","Kosovo",42.5,20.5
"F9ZIBZ8HK4","Mairé-Levescault","(blank)","France",46.15446,0.08232
"3J0SCPZWOP","Nuceria Camellaria - Nocera Umbra","Umbria","Italy",43.113857,12.788349
"8MP172W9VG","Amman","Jordan","Jordan",31.949722,35.932778
"SUX8YV5ZV8","Capua","Italy","Italy",41.0860925,14.250207
"DTCH636CX2","Eporedia - Ivrea","Transpadana","Italy",45.466604,7.875942
"TOF7503ASO","Thugga","Numidia","Tunisia",36.422473,9.2188665
"GWJKVH96KZ","Aveia Vestina","Italy","Italy",42.29306646,13.48803031
"TXSRXE2E8O","Urci","Spain","Spain",37.24888154,-1.776844189
"9E1J43U4X4","Memphis","(blank)","Egypt",29.849491,31.255061
"94DWCOI4T1","Doliche","Commagene","Greece",40.0575,22.16666667
"SIKUJMV3QB","Cossium/Vasatis","(blank)","France",44.431514,-0.213375
"IA4DR3T2JU","Horreomargum","Serbia","Serbia",44.7377726,21.22539042
"8QU4KDGP8K","Girba","African Tripoli","Tunisia",33.874783,10.859558
"519V1ML1FZ","","Phoenicia - Phoenice - Phoinike Libanesia","Jordan",32.5,37.5
"YG77HL9JYI","Mytilene","Greece","Greece",39.10479566,26.55034332
"C2K23HVJXF","Île Barbe","Gaul","France",45.79787,4.83348
"EJQM2BEHC5","Ptolemais","Phoenice Parhalus","Israel",32.92128675,35.079835
"ZLFET24D9N","Dijon","Gaul","France",47.31666667,5.01666667
"OBS1KBRMRF","Pisae - Pisa - Ager Pisanus","Etruria","Italy",43.719417,10.400106
"1R1BNQQ50N","Saint-Senoch","(blank)","France",47.0465,0.96859
"LMJE5U22S1","Augusta","Cilicia","Turkey",37.245212,35.344087
"OE3YBN1T9A","","Aegyptus - Egypt","Egypt",31.201435,29.909773
"T26JK6WM1K","Sirmium","Pannonia","Serbia",44.966447,19.610106
"T7KXBX3OUK","Forum Novum - Vescovio","Samnium","Italy",42.32876,12.61368
"1XX1H2VZDD","Bevagna","Italy","Italy",42.93295782,12.60794823
"OON9Z6SQHC","Darioritum - Vannes","Lugdunensis","France",47.654797,-2.75957
"MA73IXIQ1Z","Chenoboskion","Egypt","Egypt",26.054855,32.308437
"87UN0D4YKO","Potama","Asia Minor","Turkey",39.686107,31.171128
"KCLGAFIH7K","Flaviopolis","Asia Minor","Turkey",40.81222222,32.165
"BFESVS7X73","Padua","Italy","Italy",45.409561,11.876975
"UN8W986MA1","Laodicea","Syria I","Syria",35.51892275,35.7766297
"PMJAFGIV9G","Zama","Numidia","Tunisia",36.1118585,9.285729
